start_station_name,start_station_id
Eames Pl & Claflin Ave,8672.05
Stratford Rd & Beverley Rd,3113.1
61 St & Laurel Hill Blvd,5998.09
Walton Ave & E 153 St,7945.07
Nassau Ave & Newell St,5623.03
Fulton St & Clermont Ave,4386.05
41 Ave & 67 St,6225.03
Church Ave & Nostrand Ave,3359.01
7 Ave & 20 St,3588.01
Broadway & W 220 St,8715.01
George St & Wilson Ave,4906.07
Centre St & Chambers St,5207.01
Corona Ave & 90 St,6123.02
Matthews Ct & Coney Island Ave,3034.02
48 St & 50 Ave,6016.06
60 Pl & Linden St,5097.02
Broadway & Roebling St,5125.07
Intervale Ave & Kelly St,8044.09
Catherine St & Monroe St,5128.04
Walker St & Baxter St,5351.07
43 St & 23 Ave,7009.06
W 163 St & Riverside Dr,8210.01
Crotona Ave & E 183 St,8387.03
Walton Ave & E 168 St,8179.03
Humboldt St & Varet St,4956.02
31 Ave & 34 St,6819.15
Edgecombe Ave & W 141 St,7915.11
61 St & Woodside Ave,6191.06
Carlton Ave & Greene Ave,4386.07
50 St & 7 Ave,3038.08
Bulova Ave & Brooklyn Queens Expressway W,6766.03
Lexington Ave & Classon Ave,4452.03
57 Ave & 98 Pl,6028.01
MacDonough St & Marcy Ave,4246.02
21 St & 23 Ave,7210.07
48 Ave & 5 St,6212.04
Fulton Ave & E 172 St,8186.01
43 Ave & 40 St,6292.03
E Mosholu Pkwy & E 204 St,8748.02
Grand St & Samuel Dickstein Plaza,5335.07
Washington Ave & Park Pl,4116.09
Broadway & W 153 St,8089.05
85 St & Northern Blvd,6594.02
E 169 St & Fox St,8024.05
W 163 St & Edgecombe Ave,8153.1
McGuinness Blvd & Eagle St,5977.01
72 St & Broadway,6258.02
Ogden Ave & W 165 St,8149.09
Ogden Ave & Merriam Ave,8218.04
Sheridan Ave & E 168 St,8160.03
33 St & 47 Ave,6185.04
Hunts Point Ave & Bryant Ave,7820.05
Case St & 94 St,6273.03
48 St & Skillman Ave,6283.05
Westchester Ave & Jackson Ave,7853.01
