start_station_name,start_station_id
Cortelyou Rd & Stratford Rd,2898.01
Union Ave & Jackson St,5300.06
Onderdonk Ave & Dekalb Ave,5115.01
45 St & 4 Ave,3275.03
104 St & 32 Ave,6692.03
57 St & 43 Ave,6158.06
New York Ave & Lenox Rd,3431.02
60 Pl & 67 Ave,4985.09
Crotona Ave & E 179 St,8330.05
Franklin Ave & E 169 St,8118.02
38 St & Northern Blvd,6486.07
E New York Ave & Troy Ave,3680.04
Dawson St & Intervale Ave,7888.1
West End Ave & W 60 St,7059.08
Melrose Ave & E 150 St,7879.01
E 106 St & 1 Ave,7456.03
E 13 St & 2 Ave,5820.08
Roosevelt Ave & 104 St,6414.07
Waterbury St & Stagg St,5099.02
Concourse Village West & E 156 St,7962.01
Lexington Ave & E 24 St,6089.07
Knickerbocker Ave & Halsey St,4623.02
42 Ave & 108 St,6371.03
E 141 St & St Ann's Ave,7722.06
Vernon Blvd & 31 Ave,7003.06
Washington Park,4546.05
31 St & Ditmars Blvd,7144.02
Bergen Ave & E 152 St,7858.02
31 St & Northern Blvd,6495.17
E Mosholu Pkwy & E 204 St,8748.02
37 Ave & 63 St,6340.09
Grove St & Fresh Pond Rd,5168.04
Nassau St & Navy St,4812.02
Bergen St & Buffalo Ave,4072.02
65 St & Otto Rd,4977.03
Willoughby Ave & Myrtle Ave,4759.02
47 Ave & 104 St,6295.07
Railroad Ave & Kay Ave,4990.02
E 11 St & 3 Ave,5788.16
St Marks Ave & Ralph Ave,4031.05
46 St & 28 Ave,6842.02
Seneca Ave & Irvine St,7883.09
29 St & 5 Ave,3523.06
W 116 St & Broadway,7713.11
Franklin Ave & Myrtle Ave,4715.01
Crotona Pkwy & Bronx Park S,8325.12
Ralph Ave & Fulton St,4220.02
Morningside Ave & W 123 St,7741.01
Washington Ave & E 167 St,8068.01
Old Broadway & W 133 St,7881.09
Lafayette Ave & Stuyvesant Ave,4576.11
111 St & 49 Ave,6287.02
57 St & 4 Ave,3093.07
E 33 St & 5 Ave,6322.01
Garfield Pl & 8 Ave,3978.13
Grand Concourse & E 175 St,8303.06
Bainbridge Ave & E 193 St,8582.02
Norman St & Wyckoff Ave,4654.01
37 St & 24 Ave,6981.16
21 St & 38 Ave,6656.05
Kent St & McGuinness Blvd,5785.1
Sedgwick Ave & W 195 St,8692.04
58 St & 2 Ave,3138.09
Ditmars Blvd & 73 St,6964.05
Creston Ave & E 178 St,8379.07
Stanton St & Mangin St,5326.06
Woodside Ave & 69 St,6183.03
46 St & Queens Blvd,6209.08
W 59 St & 10 Ave,7023.04
56 Ave & Junction Blvd,5995.07
Barrow St & Hudson St,5805.05
Underhill Ave & Pacific St,4231.04
Court St & State St,4488.08
Caton Ave & Bedford Ave,3368.04
Sterling Pl & Franklin Ave,4033.16
President St & 4 Ave,4101.17
Midwood St & Utica Ave,3599.01
W 106 St & Central Park West,7606.01
Sterling Pl & New York Ave,3984.02
Centre St & Seneca Ave,4837.03
Ave D & E 12 St,5575.08
E 133 St & Cypress Pl,7642.04
Isham St & Broadway,8665.09
Irving Ave & Palmetto St,4775.01
Delancey St & Eldridge St,5414.07
Greenwood Ave & E 4 St,3353.04
Grand Concourse & E Mount Eden Ave,8265.09
Macon St & Nostrand Ave,4214.03
Clermont Ave & Lafayette Ave,4461.01
Broadway & E 21 St,6098.1
Jerome Ave & W Fordham Rd,8586.09
Rivington St & Chrystie St,5453.01
3 Ave & E 189 St,8526.03
Bialystoker Pl & Delancey St,5335.03
Eastern Pkwy & Kingston Ave,3902.06
31 St & Thomson Ave,6227.02
Home St & Westchester Ave,8020.01
78 St & Northern Blvd,6603.07
Leonard St & Church St,5359.11
Cleveland Pl & Spring St,5492.05
6 Ave & W 34 St,6364.1
Forsyth St & Grand St,5382.07
102 St & 34 Ave,6576.07
23 Rd & 31 St,7082.14
Longfellow Ave & E 165 St,7983.04
Park Circle & East Dr,3344.02
W 27 St & 6 Ave,6215.07
W 17 St & 7 Ave,6107.08
E 12 St & 3 Ave,5788.12
Lexington Ave & E 120 St,7652.04
56 Ave & 92 St,5962.04
Graham Ave & Grand St,5178.06
Morgan Ave & Lombardy St,5503.01
W 147 St & Adam Clayton Powell Blvd,7971.07
Central Park S & 6 Ave,6876.04
McKibbin St & Bogart St,5059.02
Skillman Ave & Honeywell St,6334.03
Tiebout Ave & E Fordham Rd,8546.06
Schenectady Ave & Prospect Pl,4007.01
Steinway St & Ditmars Blvd,7074.01
Gleane St & Britton Ave,6281.01
Gillmore St & 27 Ave,6869.1
11 Ave & W 41 St,6726.01
E Tremont Ave & E 176 St,8356.02
Bond St & Fulton St,4479.06
Division St & Bowery,5270.08
48 Ave & 5 St,6212.04
Pacific St & Smith St,4446.03
MacDonough St & Marcy Ave,4246.02
Bedford Ave & Nassau Ave,5550.05
Fulton Ave & E 172 St,8186.01
5 Ave & 41 St,3306.03
Gerard Ave & E 165 St,8111.04
W 43 St & 6 Ave,6593.14
Randall's Island - Field 10,7575.01
Rogers Ave & Lincoln Rd,3625.07
Lafayette Ave & Classon Ave,4452.01
Walton Ave & E 153 St,7945.07
53 Ave & 62 St,5806.01
E 179 St & Daly Ave,8268.08
44 St & 3 Ave,3315.05
40 Ave & 9 St,6664.05
48 St & 5 Ave,3202.06
100 St & Humphreys St,6905.02
Motorgate,6814.01
Lenox Ave & W 146 St,7910.1
Atlantic Ave & Fort Greene Pl,4354.07
S Portland Ave & Hanson Pl,4354.05
Murray St & Greenwich St,5288.12
Graham Ave & Herbert St,5403.05
29 St & Skillman Ave,6194.06
E 165 St & Clay Ave,8052.02
Bradhurst Ave & W 148 St,7992.04
Nelson Ave & 167 St,8183.08
Union Ave & N 12 St,5411.07
